Tmax,learning_rate,P,N,TP,FP,Alerts,"B[0,1,3]","B[0,1,4]","B[0,2,5]","B[0,2,6]"
20,0.0,48,952,48,0,16,0.25,0.25,0.25,0.25
20,0.025,48,952,48,0,16,0.444275459338124,0.22226445644946333,0.11119562776294936,0.11119562776294936
20,0.05,48,952,48,0,16,0.6083012024628599,0.17163546321125742,0.04842787111462519,0.04842787111462519
20,0.075,48,952,48,0,16,0.7333737868145845,0.12299867118169215,0.020628870822031357,0.020628870822031357
20,0.1,48,952,48,0,16,0.8232821906655471,0.0840667998918608,0.00858420955073129,0.00858420955073129
20,0.2,48,952,48,0,16,0.9720505727352207,0.013875678429247158,0.00019807040628566123,0.00019807040628566123
20,0.3,48,952,48,0,16,0.9966794680122252,0.0016588854592944383,2.7610691856097964e-06,2.7610691856097964e-06
20,0.4,48,952,48,0,16,0.9997179089059072,0.00014103559872002505,1.989665277486598e-08,1.989665277486598e-08
20,0.5,48,952,48,0,16,0.9999847412691452,7.6293363235890865e-06,5.820766091346741e-11,5.820766091346741e-11
20,0.6,48,952,48,0,16,0.9999995705033166,2.1474831868314004e-07,4.611686018427397e-14,4.611686018427397e-14
20,0.7,48,952,48,0,16,0.9999999956953278,2.1523360453674544e-09,4.632550472129624e-18,4.632550472129624e-18
20,0.8,48,952,48,0,16,0.9999999999934464,3.2767999999892502e-12,1.073741823999992e-23,1.073741823999992e-23
20,0.9,48,952,48,0,16,1.0,4.9999999999999814e-17,2.4999999999999813e-33,2.4999999999999813e-33
20,1.0,48,952,48,0,16,1.0,0.0,0.0,0.0
